no;docno;weeks;numbids;takeover;bidprem;insthold;size;leglrest;rearest;finrest;regulatn;whtknght;size.sq
1;78001;23.570999;2;1;1.190497;0.136;0.76676;1;0;0;0;1;0.587920898
2;78005;13.571;0;1;1.036;0.134;0.162503;0;0;0;0;0;0.026407225
3;78015;5;1;1;1.403412;0.002;0.120489;1;0;0;1;1;0.014517599
4;78016;7.429;1;1;1.504455;0.181;0.0723;1;0;0;0;0;0.00522729
5;78028;8.857;1;1;1.380736;0.329;0.189118;1;0;0;1;0;0.035765618
6;78031;6.429;3;1;1.400069;0.188;0.154217;1;0;0;0;1;0.023782883
7;78033;13.571;2;1;1.181691;0.319;0.460355;0;0;0;1;1;0.211926726
8;78037;14.857;1;1;1.32256;0.123;0.276814;0;0;0;1;0;0.076625991
9;78039;20.714001;1;1;1.650588;0.379;0.22895;0;0;0;0;0;0.052418103
10;78041;41.429001;0;1;1.35606;0.343;0.914039;1;1;0;1;0;0.835467294
11;78042;2.857;1;1;1.305793;0.395;0.230777;0;0;0;0;0;0.053258024
12;78043;7.714;2;1;1.472298;0.174;0.107286;1;0;0;1;1;0.011510286
13;79008;14.429;2;1;1.387;0.006;0.037003;1;0;0;0;1;0.001369222
14;79015;8.286;1;1;2.066366;0.06;0.308104;1;0;0;0;1;0.094928075
15;79017;7.714;2;1;1.333636;0.152;0.423673;0;0;0;1;1;0.179498811
16;79032;14.286;1;1;1.614583;0.038;0.113908;0;0;0;0;0;0.012975032
17;79033;8.286;3;1;1.349378;0.061;0.180093;1;0;0;0;1;0.032433489
18;79034;20.429001;2;1;1.322247;0.112;0.551584;0;0;0;0;1;0.304244909
19;79036;10;2;1;1.402218;0.329;0.22357;0;0;0;0;1;0.049983545
20;80001;13.143;1;1;1.536418;0.081;0.080982;0;0;0;0;0;0.006558084
21;80002;24.429001;3;1;1.510465;0.081;0.135537;0;0;0;1;0;0.018370278
22;80004;16.714001;1;1;1.530601;0.087;0.111916;0;0;0;0;1;0.012525191
23;80008;7.286;2;1;1.319529;0.084;0.749821;1;1;0;0;1;0.562231532
24;80011;19.570999;4;1;0.953461;0.299;1.299397;1;0;0;1;1;1.688432564
25;80014;10.286;1;1;1.573161;0;0.052537;1;0;0;1;1;0.002760136
26;80015;9.714;1;1;1.445622;0.08;0.035321;0;0;0;0;1;0.001247573
27;80016;6.714;1;1;1.419429;0.297;0.119377;0;0;0;0;1;0.014250868
28;80019;5.714;1;1;1.438874;0.079;0.104623;0;0;0;0;0;0.010945972
29;80020;17;4;1;1.335253;0.373;0.20756;1;0;0;1;1;0.043081154
30;80024;8.429;1;1;1.209008;0.211;0.221637;0;0;0;1;0;0.04912296
31;80026;7.286;2;1;1.217107;0;0.030686;0;1;0;0;1;0.000941631
32;80030;13.571;1;1;1.673279;0.272;0.424543;1;0;0;0;1;0.180236759
33;81001;11.143;4;1;1.587993;0.116;0.076668;1;0;1;0;1;0.005877982
34;81003;4;1;1;1.365418;0.126;2.965952;0;0;0;0;0;8.796871266
35;81004;5.143;1;1;1.679737;0.415;1.764889;1;1;1;0;1;3.114833182
36;81006;14.857;10;1;1.303152;0.496;11.0363;1;1;0;1;1;121.7999177
37;81008;7.714;1;1;1.394373;0.001;0.024125;0;0;0;0;0;0.000582016
38;81010;4.714;1;1;1.428554;0.197;2.010382;0;0;0;0;0;4.041635786
39;81011;12.429;1;1;1.389614;0.117;0.061078;0;0;0;0;1;0.003730522
40;81014;8.857;1;1;1.396612;0.069;0.107059;0;1;0;0;1;0.011461629
41;81015;11;1;1;1.745144;0.141;0.292953;1;0;0;0;0;0.08582146
42;81016;21.429001;2;1;1.755294;0.06;0.120224;1;0;0;1;1;0.01445381
43;81017;9.714;1;1;1.246452;0.189;0.215708;1;0;0;0;1;0.046529941
44;81020;5.143;2;1;1.49177;0.373;0.953882;1;0;0;1;1;0.90989087
45;81024;21.714001;1;1;1.890381;0.32;0.320775;1;0;0;1;0;0.102896601
46;81028;5.714;2;1;1.430947;0.485;5.043089;1;1;0;1;1;25.43274666
47;81030;6.857;1;1;1.304395;0.035;0.050246;1;0;0;0;1;0.002524661
48;81031;10;1;1;1.277942;0.048;0.083523;1;0;0;1;1;0.006976092
49;82001;4.143;1;1;1.373276;0.06;0.440406;0;1;0;0;0;0.193957445
50;82006;11.286;3;1;1.34238;0.322;0.680758;1;0;0;1;1;0.463431455
51;82007;10.571;1;1;1.319894;0.239;0.608149;1;0;0;0;0;0.369845206
52;82015;10;2;1;1.904547;0.08;0.067855;0;0;0;1;1;0.004604301
53;82016;14.714;4;1;1.37417;0.358;6.0485;1;1;0;1;1;36.58435225
54;82022;4.143;1;1;1.754313;0.476;0.229478;0;0;0;0;0;0.052660152
55;82023;18.285999;3;1;1.351873;0.152;0.076379;0;0;0;0;1;0.005833752
56;82024;26.857;1;1;1.458766;0.576;1.120939;1;1;0;0;1;1.256504242
57;82025;7;1;1;1.305535;0.223;0.104418;0;0;0;0;0;0.010903119
58;82027;14;3;1;1.602093;0.253;3.2185;1;0;0;0;1;10.35874225
59;82031;4.857;2;1;1.045617;0.05;0.05657;1;0;0;0;0;0.003200165
60;82033;25.857;2;1;1.419652;0.14;0.047079;1;0;0;0;0;0.002216432
61;82034;7.143;0;1;1.355982;0.022;0.04964;0;0;0;1;0;0.00246413
